year,quarter,week_ending,hb,age_group,sex,admission_type,number_admissions,average20182019,percent_variation
2020,3,2020-07-05,S08000031,Under 5,All,All,154,237.5,-35.2
2020,3,2020-07-05,S08000032,Under 5,All,All,119,158.5,-24.9
2020,3,2020-07-05,S92000003,Under 5,All,All,624,954,-34.6
2020,3,2020-07-12,S08000015,Under 5,All,All,44,74,-40.5
2020,3,2020-07-12,S08000016,Under 5,All,All,7,20.5,-65.9
2020,3,2020-07-12,S08000017,Under 5,All,All,16,29.5,-45.8
2020,3,2020-07-12,S08000019,Under 5,All,All,19,68,-72.1
2020,3,2020-07-12,S08000020,Under 5,All,All,41,83,-50.6
2020,3,2020-07-12,S08000022,Under 5,All,All,24,50.5,-52.5
2020,3,2020-07-12,S08000024,Under 5,All,All,91,109,-16.5
2020,3,2020-07-12,S08000029,Under 5,All,All,31,49,-36.7
2020,3,2020-07-12,S08000030,Under 5,All,All,44,61,-27.9
2020,3,2020-07-12,S08000031,Under 5,All,All,171,214.5,-20.3
2020,3,2020-07-12,S08000032,Under 5,All,All,116,140.5,-17.4
2020,3,2020-07-12,S92000003,Under 5,All,All,606,902.5,-32.9
2020,3,2020-07-19,S08000015,Under 5,All,All,40,65,-38.5
2020,3,2020-07-19,S08000016,Under 5,All,All,10,18,-44.4
2020,3,2020-07-19,S08000017,Under 5,All,All,15,21.5,-30.2
2020,3,2020-07-19,S08000019,Under 5,All,All,26,61,-57.4
2020,3,2020-07-19,S08000020,Under 5,All,All,54,68,-20.6
2020,3,2020-07-19,S08000022,Under 5,All,All,26,34.5,-24.6
2020,3,2020-07-19,S08000024,Under 5,All,All,85,99,-14.1
2020,3,2020-07-19,S08000029,Under 5,All,All,34,52,-34.6
2020,3,2020-07-19,S08000030,Under 5,All,All,42,65.5,-35.9
2020,3,2020-07-19,S08000031,Under 5,All,All,196,193.5,1.3
2020,3,2020-07-19,S08000032,Under 5,All,All,111,149.5,-25.8
2020,3,2020-07-19,S92000003,Under 5,All,All,639,831,-23.1
2020,3,2020-07-26,S08000015,Under 5,All,All,50,63.5,-21.3
2020,3,2020-07-26,S08000016,Under 5,All,All,12,14.5,-17.2
2020,3,2020-07-26,S08000017,Under 5,All,All,18,23.5,-23.4
2020,3,2020-07-26,S08000019,Under 5,All,All,26,53,-50.9
2020,3,2020-07-26,S08000020,Under 5,All,All,42,72,-41.7
2020,3,2020-07-26,S08000022,Under 5,All,All,25,39.5,-36.7
2020,3,2020-07-26,S08000024,Under 5,All,All,85,130.5,-34.9
2020,3,2020-07-26,S08000029,Under 5,All,All,25,51,-51
2020,3,2020-07-26,S08000030,Under 5,All,All,51,60.5,-15.7
2020,3,2020-07-26,S08000031,Under 5,All,All,161,204,-21.1
2020,3,2020-07-26,S08000032,Under 5,All,All,99,141.5,-30
2020,3,2020-07-26,S92000003,Under 5,All,All,595,855.5,-30.5
